datetime,temperature,pressure,humidity
2018/12/06 00:28:12,19.73 C,1012.02 hPA,73.18 %RH
2018/12/06 00:28:13,19.72 C,1012.03 hPA,73.16 %RH
2018/12/06 00:28:14,19.72 C,1012.04 hPA,73.17 %RH
2018/12/06 00:28:15,19.72 C,1012.04 hPA,73.16 %RH
2018/12/06 00:28:16,19.71 C,1012.05 hPA,73.14 %RH
2018/12/06 00:28:17,19.71 C,1012.05 hPA,73.14 %RH
2018/12/06 00:28:18,19.71 C,1012.03 hPA,73.16 %RH
2018/12/06 00:28:19,19.70 C,1012.03 hPA,73.16 %RH
2018/12/06 00:28:20,19.70 C,1012.03 hPA,73.17 %RH
2018/12/06 00:28:22,19.70 C,1012.04 hPA,73.17 %RH
2018/12/06 00:28:23,19.70 C,1012.04 hPA,73.20 %RH
2018/12/06 00:28:24,19.70 C,1012.05 hPA,73.22 %RH
2018/12/06 00:28:25,19.69 C,1012.05 hPA,73.22 %RH
2018/12/06 00:28:26,19.69 C,1012.05 hPA,73.25 %RH
2018/12/06 00:28:27,19.69 C,1012.07 hPA,73.29 %RH
2018/12/06 00:28:28,19.69 C,1012.04 hPA,73.31 %RH
2018/12/06 00:28:29,19.69 C,1012.04 hPA,73.37 %RH
2018/12/06 00:28:30,19.68 C,1012.04 hPA,73.43 %RH
2018/12/06 00:28:31,19.68 C,1012.05 hPA,73.45 %RH
2018/12/06 00:28:32,19.68 C,1012.05 hPA,73.50 %RH
2018/12/06 00:28:33,19.68 C,1012.06 hPA,73.52 %RH
2018/12/06 00:28:34,19.67 C,1012.06 hPA,73.55 %RH
2018/12/06 00:28:35,19.67 C,1012.05 hPA,73.56 %RH
2018/12/06 00:28:36,19.67 C,1012.05 hPA,73.55 %RH
2018/12/06 00:28:37,19.67 C,1012.04 hPA,73.56 %RH
2018/12/06 00:28:38,19.67 C,1012.04 hPA,73.57 %RH
2018/12/06 00:28:39,19.66 C,1012.05 hPA,73.56 %RH
2018/12/06 00:28:40,19.66 C,1012.06 hPA,73.55 %RH
2018/12/06 00:28:41,19.66 C,1012.06 hPA,73.55 %RH
2018/12/06 00:28:42,19.66 C,1012.06 hPA,73.55 %RH
2018/12/06 00:28:43,19.66 C,1012.07 hPA,73.55 %RH
2018/12/06 00:28:44,19.65 C,1012.05 hPA,73.57 %RH
2018/12/06 00:28:45,19.65 C,1012.06 hPA,73.56 %RH
2018/12/06 00:28:47,19.65 C,1012.07 hPA,73.55 %RH
2018/12/06 00:28:48,19.64 C,1012.07 hPA,73.56 %RH
2018/12/06 00:28:49,19.64 C,1012.08 hPA,73.57 %RH
2018/12/06 00:28:50,19.64 C,1012.09 hPA,73.57 %RH
2018/12/06 00:28:51,19.64 C,1012.10 hPA,73.58 %RH
2018/12/06 00:28:52,19.64 C,1012.09 hPA,73.61 %RH
2018/12/06 00:28:53,19.64 C,1012.10 hPA,73.61 %RH
2018/12/06 00:28:54,19.63 C,1012.07 hPA,73.64 %RH
2018/12/06 00:28:55,19.63 C,1012.08 hPA,73.63 %RH
2018/12/06 00:28:56,19.63 C,1012.09 hPA,73.65 %RH
2018/12/06 00:28:57,19.63 C,1012.09 hPA,73.66 %RH
2018/12/06 00:28:58,19.63 C,1012.10 hPA,73.66 %RH
2018/12/06 00:28:59,19.62 C,1012.10 hPA,73.68 %RH
2018/12/06 00:29:00,19.62 C,1012.10 hPA,73.67 %RH
2018/12/06 00:29:01,19.62 C,1012.10 hPA,73.69 %RH
2018/12/06 00:29:02,19.62 C,1012.10 hPA,73.72 %RH
2018/12/06 00:29:03,19.62 C,1012.11 hPA,73.74 %RH
2018/12/06 00:29:04,19.62 C,1012.12 hPA,73.75 %RH
2018/12/06 00:29:05,19.61 C,1012.09 hPA,73.77 %RH
2018/12/06 00:29:06,19.61 C,1012.09 hPA,73.77 %RH
2018/12/06 00:29:07,19.61 C,1012.09 hPA,73.78 %RH
2018/12/06 00:29:08,19.61 C,1012.09 hPA,73.80 %RH
2018/12/06 00:29:09,19.61 C,1012.09 hPA,73.79 %RH
2018/12/06 00:29:10,19.61 C,1012.09 hPA,73.81 %RH
2018/12/06 00:29:12,19.61 C,1012.09 hPA,73.83 %RH
2018/12/06 00:29:13,19.61 C,1012.10 hPA,73.86 %RH
2018/12/06 00:29:14,19.61 C,1012.09 hPA,73.87 %RH
2018/12/06 00:29:15,19.60 C,1012.09 hPA,73.88 %RH
2018/12/06 00:29:16,19.60 C,1012.11 hPA,73.87 %RH
2018/12/06 00:29:17,19.60 C,1012.10 hPA,73.89 %RH
2018/12/06 00:29:18,19.60 C,1012.11 hPA,73.89 %RH
2018/12/06 00:29:19,19.59 C,1012.06 hPA,73.89 %RH
2018/12/06 00:29:20,19.59 C,1012.07 hPA,73.91 %RH
2018/12/06 00:29:21,19.59 C,1012.07 hPA,73.92 %RH
2018/12/06 00:29:22,19.59 C,1012.08 hPA,73.94 %RH
2018/12/06 00:29:23,19.59 C,1012.08 hPA,73.95 %RH
2018/12/06 00:29:24,19.58 C,1012.09 hPA,73.99 %RH
2018/12/06 00:29:25,19.58 C,1012.09 hPA,74.02 %RH
2018/12/06 00:29:26,19.58 C,1012.08 hPA,74.04 %RH
2018/12/06 00:29:27,19.58 C,1012.06 hPA,74.07 %RH
2018/12/06 00:29:28,19.57 C,1012.06 hPA,74.10 %RH
2018/12/06 00:29:29,19.57 C,1012.07 hPA,74.12 %RH
2018/12/06 00:29:30,19.57 C,1012.07 hPA,74.17 %RH
2018/12/06 00:29:31,19.57 C,1012.07 hPA,74.19 %RH
2018/12/06 00:29:32,19.57 C,1012.07 hPA,74.23 %RH
2018/12/06 00:29:33,19.57 C,1012.07 hPA,74.26 %RH
2018/12/06 00:29:34,19.57 C,1012.07 hPA,74.28 %RH
2018/12/06 00:29:35,19.56 C,1012.08 hPA,74.29 %RH
2018/12/06 00:29:36,19.56 C,1012.09 hPA,74.32 %RH
2018/12/06 00:29:38,19.56 C,1012.09 hPA,74.32 %RH
2018/12/06 00:29:39,19.56 C,1012.10 hPA,74.34 %RH
2018/12/06 00:29:40,19.56 C,1012.10 hPA,74.35 %RH
2018/12/06 00:29:41,19.56 C,1012.10 hPA,74.37 %RH
2018/12/06 00:29:42,19.56 C,1012.08 hPA,74.37 %RH
2018/12/06 00:29:43,19.56 C,1012.07 hPA,74.39 %RH
2018/12/06 00:29:44,19.56 C,1012.08 hPA,74.40 %RH
2018/12/06 00:29:45,19.55 C,1012.07 hPA,74.40 %RH
2018/12/06 00:29:46,19.55 C,1012.07 hPA,74.42 %RH
2018/12/06 00:29:47,19.55 C,1012.08 hPA,74.43 %RH
2018/12/06 00:29:48,19.55 C,1012.09 hPA,74.44 %RH
2018/12/06 00:29:49,19.55 C,1012.10 hPA,74.45 %RH
2018/12/06 00:29:50,19.55 C,1012.11 hPA,74.45 %RH
2018/12/06 00:29:51,19.55 C,1012.10 hPA,74.46 %RH
2018/12/06 00:29:52,19.54 C,1012.11 hPA,74.48 %RH
2018/12/06 00:29:53,19.54 C,1012.12 hPA,74.49 %RH
2018/12/06 00:29:54,19.54 C,1012.11 hPA,74.50 %RH
2018/12/06 00:29:55,19.54 C,1012.09 hPA,74.53 %RH
2018/12/06 00:29:56,19.54 C,1012.09 hPA,74.54 %RH
2018/12/06 00:29:57,19.54 C,1012.09 hPA,74.55 %RH
2018/12/06 00:29:58,19.54 C,1012.09 hPA,74.56 %RH
2018/12/06 00:29:59,19.53 C,1012.09 hPA,74.58 %RH
2018/12/06 00:30:00,19.53 C,1012.09 hPA,74.58 %RH
2018/12/06 00:30:01,19.53 C,1012.10 hPA,74.62 %RH
2018/12/06 00:30:03,19.53 C,1012.11 hPA,74.61 %RH
2018/12/06 00:30:04,19.53 C,1012.12 hPA,74.62 %RH
2018/12/06 00:30:05,19.53 C,1012.12 hPA,74.63 %RH
2018/12/06 00:30:06,19.53 C,1012.12 hPA,74.63 %RH
2018/12/06 00:30:07,19.52 C,1012.12 hPA,74.66 %RH
2018/12/06 00:30:08,19.52 C,1012.12 hPA,74.66 %RH
2018/12/06 00:30:09,19.52 C,1012.13 hPA,74.67 %RH
2018/12/06 00:30:10,19.52 C,1012.11 hPA,74.69 %RH
2018/12/06 00:30:11,19.52 C,1012.10 hPA,74.68 %RH
2018/12/06 00:30:12,19.52 C,1012.11 hPA,74.69 %RH
2018/12/06 00:30:13,19.51 C,1012.11 hPA,74.70 %RH
2018/12/06 00:30:14,19.51 C,1012.11 hPA,74.70 %RH
2018/12/06 00:30:15,19.51 C,1012.11 hPA,74.70 %RH
2018/12/06 00:30:16,19.51 C,1012.11 hPA,74.73 %RH
2018/12/06 00:30:17,19.51 C,1012.11 hPA,74.74 %RH
2018/12/06 00:30:18,19.50 C,1012.12 hPA,74.75 %RH
2018/12/06 00:30:19,19.50 C,1012.12 hPA,74.75 %RH
2018/12/06 00:30:20,19.50 C,1012.12 hPA,74.74 %RH
2018/12/06 00:30:21,19.50 C,1012.10 hPA,74.76 %RH
2018/12/06 00:30:22,19.50 C,1012.11 hPA,74.77 %RH
2018/12/06 00:30:23,19.50 C,1012.11 hPA,74.76 %RH
2018/12/06 00:30:24,19.50 C,1012.12 hPA,74.76 %RH
2018/12/06 00:30:25,19.49 C,1012.12 hPA,74.75 %RH
2018/12/06 00:30:26,19.49 C,1012.12 hPA,74.77 %RH
2018/12/06 00:30:28,19.49 C,1012.12 hPA,74.76 %RH
2018/12/06 00:30:29,19.49 C,1012.12 hPA,74.78 %RH
2018/12/06 00:30:30,19.49 C,1012.12 hPA,74.77 %RH
2018/12/06 00:30:31,19.49 C,1012.13 hPA,74.77 %RH
2018/12/06 00:30:32,19.49 C,1012.12 hPA,74.75 %RH
2018/12/06 00:30:33,19.49 C,1012.12 hPA,74.75 %RH
2018/12/06 00:30:34,19.49 C,1012.13 hPA,74.74 %RH
2018/12/06 00:30:35,19.49 C,1012.13 hPA,74.75 %RH
2018/12/06 00:30:36,19.48 C,1012.13 hPA,74.73 %RH
2018/12/06 00:30:37,19.48 C,1012.14 hPA,74.73 %RH
2018/12/06 00:30:38,19.48 C,1012.11 hPA,74.73 %RH
2018/12/06 00:30:39,19.48 C,1012.12 hPA,74.73 %RH
2018/12/06 00:30:40,19.48 C,1012.12 hPA,74.71 %RH
2018/12/06 00:30:41,19.48 C,1012.12 hPA,74.74 %RH
2018/12/06 00:30:42,19.48 C,1012.12 hPA,74.75 %RH
2018/12/06 00:30:43,19.48 C,1012.13 hPA,74.74 %RH
2018/12/06 00:30:44,19.48 C,1012.13 hPA,74.78 %RH
2018/12/06 00:30:45,19.48 C,1012.12 hPA,74.78 %RH
2018/12/06 00:30:46,19.48 C,1012.13 hPA,74.81 %RH
2018/12/06 00:30:47,19.47 C,1012.13 hPA,74.80 %RH
2018/12/06 00:30:48,19.47 C,1012.13 hPA,74.79 %RH
2018/12/06 00:30:49,19.47 C,1012.14 hPA,74.81 %RH
2018/12/06 00:30:50,19.47 C,1012.14 hPA,74.81 %RH
2018/12/06 00:30:51,19.47 C,1012.14 hPA,74.81 %RH
2018/12/06 00:30:52,19.47 C,1012.14 hPA,74.81 %RH
2018/12/06 00:30:54,19.47 C,1012.14 hPA,74.82 %RH
2018/12/06 00:30:55,19.47 C,1012.15 hPA,74.83 %RH
2018/12/06 00:30:56,19.47 C,1012.15 hPA,74.83 %RH
2018/12/06 00:30:57,19.47 C,1012.14 hPA,74.85 %RH
2018/12/06 00:30:58,19.47 C,1012.15 hPA,74.84 %RH
2018/12/06 00:30:59,19.46 C,1012.16 hPA,74.83 %RH
2018/12/06 00:31:00,19.46 C,1012.16 hPA,74.84 %RH
2018/12/06 00:31:01,19.46 C,1012.11 hPA,74.83 %RH
2018/12/06 00:31:02,19.46 C,1012.12 hPA,74.83 %RH
2018/12/06 00:31:03,19.46 C,1012.11 hPA,74.85 %RH
2018/12/06 00:31:04,19.46 C,1012.12 hPA,74.82 %RH
2018/12/06 00:31:05,19.46 C,1012.12 hPA,74.82 %RH
2018/12/06 00:31:06,19.46 C,1012.12 hPA,74.81 %RH
2018/12/06 00:31:07,19.46 C,1012.12 hPA,74.82 %RH
2018/12/06 00:31:08,19.46 C,1012.12 hPA,74.81 %RH
2018/12/06 00:31:09,19.46 C,1012.12 hPA,74.81 %RH
2018/12/06 00:31:10,19.45 C,1012.12 hPA,74.81 %RH
2018/12/06 00:31:11,19.45 C,1012.12 hPA,74.81 %RH
2018/12/06 00:31:12,19.45 C,1012.12 hPA,74.78 %RH
2018/12/06 00:31:13,19.45 C,1012.13 hPA,74.79 %RH
2018/12/06 00:31:14,19.45 C,1012.13 hPA,74.79 %RH
2018/12/06 00:31:15,19.45 C,1012.14 hPA,74.78 %RH
2018/12/06 00:31:16,19.45 C,1012.14 hPA,74.77 %RH
2018/12/06 00:31:17,19.45 C,1012.14 hPA,74.77 %RH
2018/12/06 00:31:19,19.45 C,1012.14 hPA,74.77 %RH
2018/12/06 00:31:20,19.45 C,1012.15 hPA,74.76 %RH
2018/12/06 00:31:21,19.44 C,1012.15 hPA,74.75 %RH
2018/12/06 00:31:22,19.44 C,1012.15 hPA,74.75 %RH
2018/12/06 00:31:23,19.44 C,1012.16 hPA,74.76 %RH
2018/12/06 00:31:24,19.44 C,1012.13 hPA,74.75 %RH
2018/12/06 00:31:25,19.44 C,1012.12 hPA,74.75 %RH
2018/12/06 00:31:26,19.44 C,1012.12 hPA,74.73 %RH
2018/12/06 00:31:27,19.44 C,1012.13 hPA,74.74 %RH
2018/12/06 00:31:28,19.44 C,1012.14 hPA,74.75 %RH
2018/12/06 00:31:29,19.44 C,1012.14 hPA,74.75 %RH
2018/12/06 00:31:30,19.44 C,1012.14 hPA,74.76 %RH
2018/12/06 00:31:31,19.44 C,1012.15 hPA,74.76 %RH
2018/12/06 00:31:32,19.44 C,1012.15 hPA,74.78 %RH
2018/12/06 00:31:33,19.43 C,1012.15 hPA,74.82 %RH
2018/12/06 00:31:34,19.43 C,1012.16 hPA,74.84 %RH
2018/12/06 00:31:35,19.43 C,1012.16 hPA,74.88 %RH
2018/12/06 00:31:36,19.43 C,1012.15 hPA,74.89 %RH
2018/12/06 00:31:37,19.43 C,1012.16 hPA,74.89 %RH
2018/12/06 00:31:38,19.43 C,1012.17 hPA,74.89 %RH
2018/12/06 00:31:39,19.43 C,1012.17 hPA,74.89 %RH
2018/12/06 00:31:40,19.43 C,1012.17 hPA,74.86 %RH
2018/12/06 00:31:41,19.43 C,1012.17 hPA,74.87 %RH
2018/12/06 00:31:42,19.43 C,1012.17 hPA,74.83 %RH
2018/12/06 00:31:44,19.43 C,1012.17 hPA,74.83 %RH
2018/12/06 00:31:45,19.43 C,1012.17 hPA,74.82 %RH
2018/12/06 00:31:46,19.43 C,1012.19 hPA,74.82 %RH
2018/12/06 00:31:47,19.43 C,1012.18 hPA,74.82 %RH
2018/12/06 00:31:48,19.43 C,1012.18 hPA,74.80 %RH
2018/12/06 00:31:49,19.43 C,1012.19 hPA,74.79 %RH
2018/12/06 00:31:50,19.42 C,1012.17 hPA,74.78 %RH
2018/12/06 00:31:51,19.42 C,1012.16 hPA,74.81 %RH
2018/12/06 00:31:52,19.42 C,1012.17 hPA,74.80 %RH
2018/12/06 00:31:53,19.42 C,1012.17 hPA,74.80 %RH
2018/12/06 00:31:54,19.42 C,1012.17 hPA,74.79 %RH
2018/12/06 00:31:55,19.42 C,1012.17 hPA,74.78 %RH
2018/12/06 00:31:56,19.42 C,1012.17 hPA,74.79 %RH
2018/12/06 00:31:57,19.42 C,1012.17 hPA,74.81 %RH
2018/12/06 00:31:58,19.42 C,1012.17 hPA,74.81 %RH
2018/12/06 00:31:59,19.42 C,1012.17 hPA,74.81 %RH
2018/12/06 00:32:00,19.42 C,1012.17 hPA,74.80 %RH
2018/12/06 00:32:01,19.42 C,1012.18 hPA,74.80 %RH
2018/12/06 00:32:02,19.42 C,1012.18 hPA,74.81 %RH
2018/12/06 00:32:03,19.42 C,1012.18 hPA,74.82 %RH
2018/12/06 00:32:04,19.42 C,1012.19 hPA,74.81 %RH
2018/12/06 00:32:05,19.42 C,1012.19 hPA,74.85 %RH
2018/12/06 00:32:06,19.41 C,1012.18 hPA,74.85 %RH
2018/12/06 00:32:07,19.41 C,1012.19 hPA,74.88 %RH
2018/12/06 00:32:08,19.41 C,1012.18 hPA,74.91 %RH
2018/12/06 00:32:10,19.41 C,1012.18 hPA,74.95 %RH
2018/12/06 00:32:11,19.41 C,1012.18 hPA,74.97 %RH
2018/12/06 00:32:12,19.41 C,1012.19 hPA,75.01 %RH
2018/12/06 00:32:13,19.41 C,1012.18 hPA,75.05 %RH
2018/12/06 00:32:14,19.41 C,1012.19 hPA,75.05 %RH
2018/12/06 00:32:15,19.41 C,1012.19 hPA,75.07 %RH
2018/12/06 00:32:16,19.41 C,1012.20 hPA,75.09 %RH
2018/12/06 00:32:17,19.41 C,1012.20 hPA,75.08 %RH
2018/12/06 00:32:18,19.41 C,1012.21 hPA,75.06 %RH
2018/12/06 00:32:19,19.41 C,1012.21 hPA,75.04 %RH
2018/12/06 00:32:20,19.41 C,1012.21 hPA,75.04 %RH
2018/12/06 00:32:21,19.41 C,1012.22 hPA,75.03 %RH
2018/12/06 00:32:22,19.40 C,1012.19 hPA,75.01 %RH
2018/12/06 00:32:23,19.40 C,1012.19 hPA,74.99 %RH
2018/12/06 00:32:24,19.40 C,1012.19 hPA,75.00 %RH
2018/12/06 00:32:25,19.40 C,1012.19 hPA,74.98 %RH
